sid,pl9_z_peak_abs,pl9_z_time_to_peak_s,pl9_z_p95_p5,pl9_z_jerk_int,pl9_pre_quiet_std,pl9_post_stable_std,pl9_rise_duration_s,pl9_shank_L_gyr_y_peak,pl9_shank_R_gyr_y_peak,pl9_shank_LR_asym,pl9_sternum_pitch_pkvel
NLS211,8.853315353393555,1.97,5.687479496002197,9382.994140625,1.0733520984649658,1.2406396865844727,0.1,2.7897539138793945,3.8269801139831543,0.1567580076481954,99.5140075683608
WPD001,5.624468803405762,-0.56,9.809081077575684,4839.6904296875,1.6136436462402344,2.3853118419647217,0.49,1.9085830450057983,1.0418250560760498,0.293775527133484,95.89767456054759
WPD002,7.315763473510742,0.0,4.326650142669678,10695.1748046875,1.4894769191741943,1.8662793636322021,0.13,2.676219940185547,3.4219160079956055,0.12228260436697343,31.134033203125
WPD003,7.734799385070801,-0.52,9.619218826293945,5248.4853515625,0.5513254404067993,3.830528736114502,0.34,1.0885800123214722,0.569316029548645,0.31320641129022975,116.6656494140625
WPD004,5.823883056640625,0.0,5.907472133636475,8021.0205078125,1.287595510482788,1.8104056119918823,0.11,1.1077699661254883,2.259247064590454,0.3419872088478607,53.218841552735796
WPD005,12.734090805053711,0.0,4.9430742263793945,12917.859375,2.5407464504241943,2.439070701599121,0.02,3.4344160556793213,2.2843170166015625,0.2011107746122296,54.50439453125
WPD006,3.0049095153808594,0.0,5.250129222869873,4455.4521484375,0.2652842402458191,0.6641873121261597,0.24,0.5481709837913513,0.7266010046005249,0.13997003578987247,77.81448364257812
WPD007,7.340969085693359,0.0,6.837873458862305,14294.9521484375,1.9277292490005493,1.980753779411316,0.09,2.6974830627441406,1.9714239835739136,0.15550939790789073,51.406097412109375
WPD008,8.930668830871582,0.0,5.860598564147949,15144.8271484375,2.670196771621704,2.0413646697998047,0.02,2.5446250438690186,2.496964931488037,0.00945338735608278,61.620330810546875
WPD009,6.829844951629639,0.0,2.7472431659698486,6423.578125,1.3754091262817383,1.3755677938461304,0.07,1.1447960138320923,0.7888330221176147,0.1840905370192212,45.107269287109375
WPD010,7.580172538757324,0.0,5.260156631469727,9671.43359375,1.4900126457214355,1.6457232236862183,0.02,1.4045790433883667,2.284975051879883,0.2386184745203017,112.29972839355469
WPD011,12.699467658996582,0.0,9.057762145996094,8311.5458984375,1.3639442920684814,4.35860013961792,0.04,1.7062859535217285,1.3937879800796509,0.10080336125264124,129.27780151367188
WPD012,3.342677593231201,0.0,4.2742438316345215,6017.07421875,1.922971487045288,1.2951775789260864,0.05,2.112797975540161,2.461806058883667,0.07629250628572866,50.392913818359375
WPD013,7.6890788078308105,-0.55,8.875029563903809,8880.24609375,0.8181197643280029,3.663745880126953,0.11,0.727944016456604,0.6515889763832092,0.055348429592673956,82.32269287109375
WPD014,7.157447814941406,0.0,4.361804008483887,8962.5166015625,1.568761944770813,1.481520652770996,0.03,1.4862569570541382,1.6283769607543945,0.04562974712948137,39.374542236328125
WPD015,15.806041717529297,0.0,10.057822227478027,13034.1396484375,0.8530858159065247,4.537878036499023,0.02,1.8120249509811401,1.3346359729766846,0.1517128276062154,129.254150390625
WPD016,4.99580192565918,0.0,4.502418518066406,9656.580078125,1.5851134061813354,1.4149501323699951,0.03,1.1347249746322632,1.8007910251617432,0.22689906090689296,50.856781005859375
WPD017,8.31570053100586,-0.65,9.310153007507324,10470.458984375,0.38236933946609497,3.840341091156006,0.28,1.826841950416565,1.0535860061645508,0.2684516632445673,129.16259765625
WPD018,4.078344821929932,0.0,6.386078834533691,6456.919921875,1.0875989198684692,0.739241361618042,0.54,1.1071319580078125,1.1201629638671875,0.005850594764437558,69.05364990234375
WPD019,5.222365379333496,1.99,7.957119941711426,4287.87109375,0.13109853863716125,1.0526095628738403,0.5,1.4582359790802002,0.9263910055160522,0.2230305846445042,76.03988647460938
WPD020,6.212592124938965,0.0,7.76849365234375,8521.1201171875,3.0059101581573486,1.8023532629013062,0.22,1.2612639665603638,2.2585608959198,0.28333700822821783,43.07098388671875
WPD021,8.175756454467773,1.32,8.16224193572998,13148.166015625,1.0883830785751343,2.5196373462677,0.13,1.307582974433899,2.326824903488159,0.28044228464382437,87.40577697753906
WPD022,4.028703689575195,0.0,5.987778663635254,4984.44677734375,2.6774392127990723,0.8577888607978821,0.24,2.4772329330444336,1.0329090356826782,0.41147152985780305,72.174072265625
WPD023,5.575592517852783,0.0,3.642322301864624,8207.6103515625,1.152997612953186,1.3022671937942505,0.02,1.7049380540847778,1.2543280124664307,0.15227082635143757,38.251495361328125
WPD024,3.7364444732666016,0.0,5.706239223480225,4447.81884765625,1.5618468523025513,1.2109723091125488,0.24,2.0472519397735596,1.6171350479125977,0.1173775520786365,58.94775390625
WPD025,8.098986625671387,0.0,5.298571586608887,4885.12939453125,1.7533471584320068,1.806605339050293,0.15,0.38216298818588257,0.24636699259281158,0.2160529866401045,50.318145751953125
WPD026,4.571219444274902,0.0,7.288804531097412,4485.09912109375,0.6529496312141418,1.1399955749511719,0.41,1.3584810495376587,1.2312639951705933,0.04912337046600145,116.4215087890625
WPD027,0.30933618545532227,-0.32,0.3233644962310791,997.0626831054688,0.05756332352757454,0.11589358747005463,0.17,0.23792700469493866,0.17111200094223022,0.16334588996650712,6.54144287109375
WPD029,4.7964959144592285,0.0,3.3727169036865234,8378.84375,1.4600070714950562,0.9725584387779236,0.02,1.7280559539794922,2.770972967147827,0.23180930810680445,25.04425048828125
